"Departament_Code";"Departament_Name";"Departament_ABBRV";"Departament_id"
2715000;"CFD - Response";"CFD Rspnse";1
904400;"ETS Information Security";"ETSInfoSec";2
2020000;"Parks -  Operations Land Manag";"Parks - OP";3
2220000;"CPD-Department of Police";"CPD";4
1030000;"Emergency Communication Center";"ECC";5
4302000;"WWB-Human Resource Mgmt";"WWB HR";6
1977337;"CRC-Aquatics Gate Monitors";"Aquatics";7
4604000;"RCS-Laboratory";"RCS Lab";8
290000;"Council - Kearney";"CCLKearney";9
1922410;"CRC-Pleasant Ridge Programs";"PRidgeProg";10
3014010;"CWW Business Services IT Devel";"BusService";11
1977334;"CRC-Aquatics Lifeguards";"Lifeguards";12
1080000;"Performance & Data Analytics";"PerfDataAn";13
1914320;"CRC-Millvale/N.Fairmount";"Mill/N.Fmt";14
1913220;"CRC-Dunham/SP Janitorial";"Dun/SP Jan";15
1944612;"CRC-Maintenance Central - PT";"Maint";16
110000;"Council - Greg Landsman";"Landsman";17
4303000;"WWB-Finance and Accounting";"WWB Acctg";18
1935220;"CRC-College Hill/Mt.Airy Jan";"CH/MA Jan";19
4206000;"WWE-Quality Assurance/Control";"WWE Qual";20
1913410;"CRC-Dunham SP Camps";"DunhamCamp";21
1929422;"CRC-Youth Summer Employ Corp";"Youth Fam";22
1370000;"Division Of Purchasing";"Purchasing";23
2532400;"Yard Waste Collections";"PS YW Coll";24
4460000;"WWT-Taylor Creek Section";"WWT- TC";25
1977331;"CRC-Aquatics Administration";"Aqua Adm";26
1200000;"Human Resources Department";"HR";27
4203000;"WWE-Project Management";"WWEProjMgm";28
1942612;"CRC-Maintenance West - PT";"Maint";29
2117000;"B&I Permits Zoning Plan Review";"B&I Zoning";30
2030000;"Parks-Planning  Design & Dev";"ParksPlan";31
3071020;"CWW IT Program Management Serv";"CWWITPMS";32
1939310;"CRC-Non Fee Programs";"CRC-Non Fe";33
3062020;"CWW Inspection/Contract Admin.";"CWWINSPECT";34
1933220;"CRC-McKie/Camp Wash Janitor";"McKCam Jan";35
2656570;"PHC Price Hill Medical Records";"PH Recrds";36
1916220;"CRC-Hartwell/Winton Hills Jani";"Hartwell";37
1354000;"Risk Mgmt-Workers' Compensatio";"Work. Comp";38
2621110;"HLT Administration";"TRD Admin";39
3052010;"CWW Richard Miller Plant";"CWWMILLER";40
4430000;"WWT-Little Miami Section";"WWT-LM";41
3110000;"CWW Stormwater Mgmt Utility";"CWW SMU";42
2511000;"Pub Svcs Director";"PS Directr";43
1111000;"Law - Civil Litigation";"Civil Lit";44
1910000;"CRC-Recreation - Region West";"West";45
1918220;"CRC-Lincoln Janitorial";"LincolnJan";46
2712000;"CFD - Support Services";"CFD Supprt";47
2120000;"B&I Property Maint Code Enforc";"B&I PMCE";48
4301000;"WWB-SBE Program";"WWB SBE";49
1342000;"Delinquent Accounts";"Delinquent";50
3011020;"Directors Section";"DIR";51
907100;"ETS-CLEAR Information Systems";"ETS CLEAR";52
4310000;"WWB-Information Technology";"WWB IT";53
1943612;"CRC-Maintenance East - PT";"Maint";54
1919310;"CRC-Non Fee Programs";"CRC-Non Fe";55
1928220;"CRC-Oakley Janitorial";"Oakley";56
3026030;"CWW Administrative Support";"AdmSupport";57
