"Job_Code","Job_Name","Job_ABBRV","Job_id"
"352","Fire Fighter-96 hr","Fire Fight",1
"046","Information Technology Mgr-EXM","InfoTechMg",2
"151","Supvr Prks/Rec Mnt & Const-EXM","Spv P/R Mn",3
"110","Division Manager","Div MGR",4
"052","Clerk Typist 2","Clerk Typ2",5
"313","Co-Op/Student Intern 3","Co-Op/Int3",6
"953","Parks/Recreation Program Ldr","P/R Prg Ld",7
"909","Recreation Specialist","Rec Specls",8
"054","Chemist-EXM","Chemist",9
"023","Council Assistant","CounclAsst",10
"139","Computer Systems Analyst-EXM","Computer S",11
"911","Lifeguard","Lifeguard",12
"094","Management Analyst-EXM","Management",13
"578","Service Area Coordinator-EXM","SvcAreaCor",14
"369","Fire Apparatus Operator-96 hr","FAO",15
"359","Fire Captain-96 hr","Fire Capt",16
"932","Municipal Worker","Munc Wkr",17
"377","Police Officer","Police Off",18
"111","Senior Accountant-EXM","Senior Acc",19
"515","Supervising Engineer-EXM","Supv Eng",20
"008","Administrative Technician-EXM","Administra",21
"321","Finance Manager-EXM","Finance Mg",22
"360","Fire District Chief-96 hr","FirDistrCh",23
"119","Plant Supervisor-EXM","Plant Supe",24
"089","Human Resources Analyst-EXM","Human Reso",25
"395","Emergency 911 Operator","911 Oper",26
"043","Senior Cmptr/Prgrmr Anlyst-EXM","Senior Com",27
"597","Park Naturalist","Park Natur",28
"465","Asst Supvr of Constructn Insp","AstSpvrCtn",29
"266","Medical Assistant","Med Asst",30
"013","Senior Admin Spec-EXM","Senior Adm",31
"304","Treatment Supervisor-EXM","Treatment",32
"712","Plant Maintenance Specialist","PlntMaintS",33
"888","Public Services Director","PubSrvDir",34
"167","Senior Asst City Solicitor-EXM","SrAsCtySol",35
"405","Emergency Srvcs Dsptch Supvr","Emergency",36
"434","Inspector  1","Inspector1",37
"177","Senior Management Analyst-EXM","Senior Man",38
"535","Deputy Director","Dep Dir",39
"407","Operator And Dispatcher","Oper Disp",40
"908","Pool Manager","Pool Manag",41
"166","Asst City Solicitor-EXM","AstCtySol",42
"358","Fire Lieutenant-96 hr","Fire Lieut",43
"284","Senior Chemist-EXM","Senior Che",44
"430","Inspector Trainee","InspectTrn",45
"357","Paramedic Training Officer","ParTrngOff",46
"539","Water Works Chief Engineer-EXM","WW ChEng",47
"273","Senior Engineer-EXM","Sen Enginr",48
"709","Plant Operator 2","PlantOper2",49
"242","Health Programs Manager-EXM","Health Pro",50
"651","Truck Driver","Truck Driv",51
"986","Optometrist","Optometris",52
"168","Asst Treatment Supt-EXM","Ast Trt Sp",53
"021","Civil Service Commissioner","CvlServCmm",54
"523","Civil Engineering Technician 3","CET 3",55
"159","Supvg Hmn Resrcs Anl-EXM","Supv HR An",56
"252","Dentist-EXM","Dentist",57
"385","Police Lieutenant","Police Lt",58
"149","Senior Human Res Analyst-EXM","Sr HR Anl",59
"001","Administrative Specialist-EXM","Administra",60
"364-8","Assistant Fire Chief-80 hr","AsstFireCh",61
"258","Accountant - EXM","Accountant",62
"759","Water Works Maint Field Supvr","WWMntFldS",63
"277","Public Health Nurse 2","PH Nurse 2",64
"247","Public Health Consultant","HlthConsu",65
"826","Emergency Comm Asst Mgr","EmCommAM",66
"755","Water Works Maintenance Worker","WWMaintWrk",67
"041","Supervising Management Analyst","SupvMgmAn",68
"658","Motor Equipment Operator 2","MEO 2",69
"805","Sewer Maintenance Crew Leader","Sewer Main",70
"307","Supervising Epidemiologist","Supv Epide",71
"256","Treatment Superintendent-EXM","Treatment",72
"217","Legal Assistant-EXM","Legal Asst",73
"274","Nurse Practitioner-EXM","Nurse Prac",74
"165","Senior Engineering Technician","Senior Eng",75
"520","Electrical Maintnce Supvr-EXM","Electrical",76
"931","Administrative Hearing Officer","AdminOfcr",77
"601","Laborer","Laborer",78
"619","Heat Ventilation & Air Conditi","Heat Venti",79
"045","Information Tech Asst Mgr-EXM","InfoTechAM",80
"920","School Crossing Guard","Xing Guard",81
"062","Clerk Typist 3","Clerk Typ3",82
"656","Sanitation Specialist","SanitSpec",83
"602","Sanitation Helper","SanittHlpr",84
"144","Pub Wrks Oprtns Supvr-EXM","PW Opr Spv",85
