"Total_Absenteeism_Hours","Total_Employees","Total_Aval_Hours","Payment_Date","Departament_id","Absenteeism_Type_id"
24,64,4104,"20130720",1,1
21.5,64,4104,"20130720",1,2
6.5,62,4008,"20130803",1,2
6,65,4078,"20130817",1,2
11.5,60,3818,"20130831",1,2
52.95,64,3978,"20130914",1,2
77,64,3988,"20130928",1,2
40.8,60,3858,"20131012",1,2
12,62,3904,"20131026",1,2
71.5,61,3828,"20131109",1,3
61.4,61,3828,"20131109",1,2
80,35,2546,"20131123",1,3
50.3,35,2546,"20131123",1,2
64,32,2306,"20131207",1,3
34.1,32,2306,"20131207",1,2
72,27,1946,"20131221",1,3
8.3,27,1946,"20131221",1,2
64,27,1992,"20140104",1,3
24,27,1992,"20140104",1,1
14.5,27,1992,"20140104",1,2
40,28,2026,"20140118",1,3
37.9,28,2026,"20140118",1,2
40,24,1798,"20140201",1,4
40,24,1798,"20140201",1,1
28,24,1798,"20140201",1,2
24,27,1946,"20140215",1,1
106.7,27,1946,"20140215",1,2
79.9,26,1958,"20140301",1,3
24,26,1958,"20140301",1,4
56.9,26,1958,"20140301",1,2
48,31,2272,"20140315",1,3
19.6,31,2272,"20140315",1,2
80,32,2352,"20140329",1,3
92.3,32,2352,"20140329",1,2
37,49,3392,"20140412",1,2
80,50,3482,"20140426",1,3
24,50,3482,"20140426",1,4
21.5,50,3482,"20140426",1,2
80,58,3930,"20140510",1,3
4,58,3930,"20140510",1,2
16,58,3930,"20140510",1,5
16,58,3930,"20140510",1,6
80,65,4244,"20140524",1,3
21.2,71,4582,"20140607",1,3
27.4,71,4582,"20140607",1,2
16,71,4582,"20140607",1,5
65.68,69,4472,"20140621",1,2
15,69,4486,"20140705",1,3
2,69,4486,"20140705",1,2
30,67,4316,"20140719",1,3
37.8,67,4316,"20140719",1,2
16,67,4316,"20140719",1,5
15,67,4316,"20140802",1,3
53.7,67,4316,"20140802",1,2
28.8,60,4058,"20140816",1,2
49,62,3962,"20140830",1,2
20.6,61,3828,"20140913",1,2
29.15,62,3862,"20140927",1,2
27,60,3816,"20141011",1,2
50.2,63,3896,"20141025",1,2
25.91,63,3896,"20141025",1,5
51,58,3742,"20141108",1,2
62.8,32,2346,"20141122",1,3
70.6,32,2346,"20141122",1,2
64,29,2106,"20141206",1,3
39.2,29,2106,"20141206",1,2
24,29,2106,"20141220",1,3
81.4,29,2106,"20141220",1,2
80,29,2106,"20141220",1,6
53.2,29,2106,"20150103",1,2
2,29,2106,"20150103",1,6
23,29,2152,"20150117",1,4
40.4,29,2152,"20150117",1,2
18,29,2152,"20150117",1,6
68.75,27,2038,"20150131",1,2
