"Date_End_Worked","Departament_id","Employee_Profile_id","Turnover_Reason_id","Employee_Turnover_id"
"20120930",15,1,1,1
"20120930",24,2,2,2
"20121031",1,3,2,3
"20121031",12,4,3,4
"20121031",24,5,2,5
"20121031",35,6,4,6
"20121031",35,7,2,7
"20121031",35,8,2,8
"20121130",9,9,1,9
"20121130",35,10,5,10
"20121130",35,11,2,11
"20121231",20,12,4,12
"20130131",14,9,1,13
"20130131",15,1,1,14
"20130131",19,13,6,15
"20130131",25,14,3,16
"20130131",27,15,5,17
"20130131",34,16,3,18
"20130331",3,17,3,19
"20130430",25,4,3,20
"20130531",18,18,5,21
"20130531",30,9,1,22
"20130630",1,19,2,23
"20130731",5,20,7,24
"20130731",7,21,5,25
"20130731",20,22,5,26
"20130731",20,23,3,27
"20130731",24,2,2,28
"20130731",25,14,3,29
"20130831",17,9,1,30
"20130930",18,24,5,31
"20130930",24,25,8,32
"20130930",25,26,3,33
"20130930",33,27,8,34
"20131031",6,28,5,35
"20131031",13,29,2,36
"20131031",24,30,8,37
"20120930",3,31,9,38
"20120930",19,32,10,39
"20121031",1,33,2,40
"20121031",24,27,2,41
"20121130",24,34,2,42
"20121130",35,35,2,43
"20121231",1,9,1,44
"20121231",11,36,5,45
"20121231",20,37,5,46
"20130131",30,38,5,47
"20130228",7,39,3,48
"20130228",18,40,5,49
"20130228",19,9,1,50
"20130331",35,41,5,51
"20130430",14,17,5,52
"20130430",18,42,5,53
"20130430",35,11,9,54
"20130531",6,9,1,55
"20130531",25,4,3,56
"20130630",1,33,9,57
"20130630",5,22,5,58
"20130630",12,9,1,59
"20130630",18,43,11,60
"20130731",3,26,3,61
"20130731",35,5,7,62
"20130831",25,44,3,63
"20130831",31,45,3,64
"20130930",29,9,1,65
"20130930",35,46,8,66
"20131130",1,47,2,67
"20131130",19,43,5,68
"20131130",35,9,1,69
"20131231",18,48,3,70
"20131231",20,4,3,71
"20131231",30,49,3,72
"20140131",24,12,5,73
"20140228",15,50,5,74
"20120930",9,9,1,75
"20120930",25,37,5,76
"20120930",35,51,5,77
"20121130",17,9,1,78
"20121130",22,52,4,79
"20121130",35,53,2,80
"20121231",1,54,2,81
"20121231",29,9,1,82
"20130131",22,22,12,83
"20130131",31,55,2,84
"20130228",9,9,1,85
"20130228",15,56,3,86
"20130228",22,57,13,87
"20130228",29,9,1,88
"20130228",34,32,14,89
"20130331",3,31,5,90
"20130331",18,22,5,91
"20130331",21,9,1,92
"20130331",30,58,5,93
"20130331",35,9,1,94
"20130430",3,59,5,95
"20130430",6,9,1,96
"20130430",10,9,1,97
"20130430",22,9,1,98
"20130430",25,26,3,99
"20130531",21,9,1,100
"20130531",24,32,5,101
"20130531",27,9,1,102
"20130531",31,60,3,103
"20130531",35,37,5,104
"20130630",1,61,12,105
"20130630",7,62,3,106
"20130630",25,59,5,107
"20130630",27,63,5,108
"20130630",30,64,10,109
"20130630",35,9,1,110
"20130731",25,4,3,111
"20130831",10,65,15,112
"20130831",14,66,5,113
"20130831",30,67,2,114
"20120930",11,18,5,115
"20120930",24,68,2,116
"20121031",14,59,5,117
"20121031",35,69,5,118
"20121031",35,70,2,119
"20121031",35,41,2,120
"20121031",35,71,2,121
"20121130",24,49,5,122
"20121130",35,72,2,123
"20121231",2,59,5,124
"20121231",24,53,2,125
"20130131",19,73,6,126
"20130131",19,74,3,127
"20130131",29,9,1,128
"20130228",3,75,3,129
"20130228",24,76,2,130
"20130228",35,9,1,131
"20130331",12,4,3,132
"20130331",15,9,1,133
"20130331",22,77,5,134
"20130430",15,9,1,135
"20130430",18,78,16,136
"20130430",33,1,1,137
"20130531",2,59,5,138
"20130531",3,79,9,139
"20130531",25,80,3,140
"20130531",35,72,2,141
"20130630",24,81,2,142
"20130731",1,82,5,143
"20130731",1,83,5,144
"20130731",6,9,1,145
"20130731",14,9,1,146
"20130731",27,36,5,147
"20130731",35,84,5,148
"20130831",18,50,5,149
"20130831",24,46,2,150
"20130831",24,53,8,151
"20120930",30,85,2,152
"20120930",35,9,1,153
"20121031",1,62,2,154
"20121031",5,86,5,155
"20121031",24,87,2,156
"20121031",35,88,2,157
"20121031",35,5,2,158
"20121231",20,89,3,159
"20121231",30,56,3,160
"20121231",31,37,9,161
"20130131",24,90,2,162
"20130228",13,91,5,163
"20130228",24,92,5,164
"20130331",20,59,5,165
"20130531",18,37,5,166
"20130531",25,89,3,167
"20130531",25,93,3,168
"20130630",3,13,5,169
"20130731",3,43,5,170
"20130831",24,94,5,171
"20130930",25,74,3,172
"20130930",33,95,8,173
"20130930",35,84,17,174
"20131031",24,27,8,175
"20131031",35,96,8,176
"20131130",1,97,2,177
"20131130",10,17,5,178
"20131130",22,69,13,179
"20131130",25,89,5,180
"20140228",25,98,5,181
"20140228",29,12,18,182
"20140331",2,99,6,183
"20140331",5,20,2,184
"20140331",25,4,3,185
"20140331",31,45,3,186
"20140331",34,58,5,187
"20121031",7,100,13,188
"20121031",31,58,9,189
"20121031",35,101,2,190
"20121130",24,25,2,191
"20121130",24,102,2,192
"20121231",24,103,5,193
"20121231",31,86,9,194
"20130131",5,104,5,195
"20130131",25,15,5,196
"20130228",8,18,3,197
"20130331",7,21,5,198
"20130331",35,81,2,199
"20130430",27,105,5,200
"20130731",11,106,5,201
"20130731",20,107,5,202
"20130731",24,95,2,203
"20130731",24,30,8,204
"20130731",25,94,3,205
"20130731",35,34,5,206
"20130831",24,27,5,207
"20130831",35,7,8,208
"20130831",35,30,19,209
"20130930",17,99,5,210
"20131031",2,9,1,211
"20131031",24,9,1,212
"20131031",35,108,5,213
"20131031",35,41,8,214
"20131031",35,109,8,215
"20131130",2,6,4,216
"20131130",24,46,8,217
"20131130",25,58,5,218
"20131130",35,110,8,219
"20131130",35,111,8,220
"20131130",35,53,8,221
"20131231",2,37,5,222
"20131231",15,9,1,223
"20140131",6,9,1,224
"20120930",7,29,5,225
"20120930",12,112,3,226
"20120930",30,78,3,227
"20120930",35,84,5,228
"20121031",18,63,5,229
"20121031",20,113,13,230
"20121031",24,51,2,231
"20121031",33,27,2,232
"20121130",18,114,20,233
"20121130",24,115,2,234
"20121130",24,81,2,235
"20121130",35,116,2,236
"20121231",5,107,5,237
"20121231",7,117,5,238
"20130131",8,9,1,239
"20130131",20,6,5,240
"20130131",30,118,5,241
"20130331",5,20,5,242
"20130331",25,119,5,243
"20130430",25,79,16,244
"20130430",35,30,2,245
"20130531",17,9,1,246
"20130531",34,58,13,247
"20130531",35,30,2,248
"20130630",25,65,3,249
"20130731",20,37,5,250
"20130731",24,5,8,251
"20130831",24,11,8,252
"20130831",24,120,2,253
"20130831",31,31,17,254
"20130831",35,84,17,255
"20130831",35,53,8,256
"20130930",6,9,1,257
"20130930",19,121,2,258
"20130930",25,122,13,259
"20131031",9,9,1,260
"20131031",20,22,4,261
"20120930",20,99,5,262
"20120930",31,123,5,263
"20120930",34,124,5,264
"20120930",35,125,12,265
"20121031",1,67,2,266
"20121031",18,89,3,267
"20121031",24,36,5,268
"20121130",13,107,5,269
"20121130",20,107,13,270
"20121130",25,4,3,271
"20121231",10,126,3,272
"20121231",13,37,9,273
"20121231",24,5,2,274
"20121231",25,127,3,275
"20130131",22,99,5,276
"20130228",3,99,5,277
"20130228",30,98,18,278
"20130331",11,9,1,279
"20130331",22,128,9,280
"20130331",24,129,7,281
"20130430",20,32,5,282
"20130531",4,130,5,283
"20130531",12,9,1,284
"20130531",25,131,5,285
"20130630",3,99,13,286
"20130630",11,16,3,287
"20130731",5,132,21,288
"20130731",12,26,3,289
"20130731",13,4,3,290
"20130731",19,16,5,291
"20130731",24,133,2,292
"20130831",1,97,5,293
"20130831",24,84,2,294
"20130831",35,5,5,295
"20130930",5,134,5,296
"20130930",24,72,8,297
"20131031",35,81,5,298
"20131130",35,46,8,299
"20131231",24,68,8,300
"20131231",24,27,8,301
"20131231",25,32,5,302
"20131231",35,1,1,303
"20140131",24,107,5,304
"20140131",25,107,5,305
"20140228",21,9,1,306
"20140228",24,135,8,307
"20140331",27,49,3,308
"20140430",24,49,3,309
"20140531",8,17,3,310
"20140531",24,34,8,311
"20140531",35,11,5,312
"20140630",18,43,5,313
"20140630",18,1,1,314
"20140630",35,84,17,315
"20140731",24,34,8,316
"20140831",13,3,2,317
"20140831",24,11,8,318
"20140831",24,34,8,319
"20140831",34,86,5,320
"20140930",24,68,8,321
"20140930",33,9,1,322
"20140930",33,1,1,323
"20141031",7,33,5,324
"20141031",11,4,3,325
"20141031",24,136,8,326
"20141031",34,14,3,327
"20141031",35,72,8,328
"20141031",35,41,8,329
"20141031",35,34,8,330
"20141031",35,111,8,331
"20141130",1,137,8,332
"20141130",18,138,5,333
"20141130",24,127,5,334
"20140228",25,50,5,335
"20140228",30,79,3,336
"20140331",2,59,5,337
"20140331",19,9,1,338
"20140331",22,139,13,339
"20140331",25,44,3,340
"20140430",8,6,5,341
"20140430",27,63,9,342
"20140430",35,84,5,343
"20140531",6,9,1,344
"20140531",16,21,5,345
"20140531",29,9,1,346
"20140630",19,140,2,347
"20140630",24,141,8,348
"20140731",24,120,8,349
"20140731",30,142,5,350
"20140831",6,9,1,351
"20140831",19,107,5,352
"20140831",20,37,22,353
"20140831",24,95,8,354
"20140831",24,115,8,355
"20140831",24,27,9,356
"20140831",35,25,8,357
"20140930",10,9,1,358
"20140930",27,9,1,359
"20141031",7,100,5,360
"20141031",24,143,8,361
"20141031",24,27,7,362
"20141031",35,120,8,363
"20141130",10,129,10,364
"20141231",24,4,3,365
"20141231",33,9,1,366
"20150131",9,28,3,367
"20150131",18,52,5,368
"20150131",19,129,6,369
"20150131",24,9,1,370
"20150228",15,17,3,371
"20131031",15,9,1,372
"20131031",17,144,3,373
"20131031",23,145,4,374
"20131130",24,27,8,375
"20131130",35,146,8,376
"20131231",12,78,3,377
"20140131",24,25,8,378
"20140228",12,32,5,379
"20140331",15,9,1,380
"20140531",25,4,3,381
"20140630",11,52,22,382
"20140630",17,9,1,383
"20140630",24,108,9,384
"20140731",1,32,9,385
"20140731",7,147,22,386
"20140731",12,4,3,387
"20140731",30,48,3,388
"20140731",34,132,9,389
"20140731",35,125,8,390
"20140831",1,19,9,391
"20140831",24,72,8,392
"20140831",24,41,8,393
"20140831",24,84,8,394
"20140831",25,31,7,395
"20140831",27,108,5,396
"20140930",19,9,1,397
"20140930",30,86,5,398
"20141031",7,130,5,399
"20141031",21,9,1,400
"20141031",30,107,5,401
"20141031",33,9,1,402
"20141031",35,148,8,403
"20141031",35,149,8,404
"20141031",35,96,8,405
