"OSHA_id","Payment_Date","Departament_id","OSHA_Type_id","numIncidentsLeadingToLostDays","numIncidentsLeadingToRestrictedDays"
1,"20190810",36,1,0,1
2,"20190810",36,2,0,1
3,"20190810",36,3,0,1
4,"20190810",36,4,0,1
5,"20190810",36,5,0,0
6,"20190810",36,6,1,1
7,"20190810",36,7,1,1
8,"20190810",36,8,1,1
9,"20190810",36,8,0,1
10,"20190810",36,9,0,1
11,"20190810",36,9,1,1
12,"20190810",36,10,1,1
13,"20190810",36,10,0,1
14,"20190727",36,5,0,1
15,"20190727",36,11,0,1
16,"20190727",36,8,0,1
17,"20190727",36,8,1,1
18,"20190727",36,9,1,1
19,"20190727",36,9,0,1
20,"20190727",36,12,1,1
21,"20190713",36,1,0,0
22,"20190713",36,2,0,0
23,"20190713",36,5,0,0
24,"20190713",36,5,1,1
25,"20190713",36,6,0,0
26,"20190713",36,7,0,0
27,"20190713",36,13,1,1
28,"20190713",36,14,1,1
29,"20190713",36,15,1,1
30,"20190713",36,16,1,1
31,"20190713",36,17,0,1
32,"20190713",36,17,1,1
33,"20190713",36,8,0,1
34,"20190713",36,8,0,0
35,"20190713",36,8,1,1
36,"20190713",36,9,0,0
37,"20190713",36,9,0,1
38,"20190713",36,9,1,1
39,"20190629",36,18,0,0
40,"20190629",36,19,0,0
41,"20190629",36,20,1,1
42,"20190629",36,5,1,1
43,"20190629",36,5,0,0
44,"20190629",36,8,0,0
45,"20190629",36,8,0,1
46,"20190629",36,8,1,1
47,"20190629",36,9,0,1
48,"20190629",36,9,1,1
49,"20190629",36,9,0,0
50,"20190629",36,10,0,0
51,"20190615",36,1,0,1
52,"20190615",36,1,0,0
53,"20190615",36,2,0,0
54,"20190615",36,2,0,1
55,"20190615",36,21,0,0
56,"20190615",36,5,0,1
57,"20190615",36,22,0,1
58,"20190615",36,23,0,1
59,"20190615",36,17,0,1
60,"20190615",36,24,0,0
61,"20190615",36,25,0,0
62,"20190615",36,8,1,1
63,"20190615",36,8,0,1
64,"20190615",36,9,1,1
65,"20190615",36,9,0,1
66,"20190601",36,1,0,0
67,"20190601",36,2,0,0
68,"20190601",36,5,1,1
69,"20190601",36,5,0,0
70,"20190601",36,5,0,1
71,"20190601",36,6,0,0
72,"20190601",36,7,0,0
73,"20190601",36,11,0,1
74,"20190601",36,11,1,1
75,"20190601",36,26,1,1
76,"20190601",36,8,1,1
77,"20190601",36,8,0,1
78,"20190601",36,8,0,0
79,"20190601",36,9,0,1
80,"20190601",36,9,0,0
81,"20190601",36,9,1,1
82,"20190518",36,27,1,1
