"Date_Format_YYYY_MM_DD","Year","Quarter","Month","Day","Date_id"
"2013-07-20",2013,3,7,20,"20130720"
"2013-08-03",2013,3,8,3,"20130803"
"2013-08-17",2013,3,8,17,"20130817"
"2013-08-31",2013,3,8,31,"20130831"
"2013-09-14",2013,3,9,14,"20130914"
"2013-09-28",2013,3,9,28,"20130928"
"2013-10-12",2013,4,10,12,"20131012"
"2013-10-26",2013,4,10,26,"20131026"
"2013-11-09",2013,4,11,9,"20131109"
"2013-11-23",2013,4,11,23,"20131123"
"2013-12-07",2013,4,12,7,"20131207"
"2013-12-21",2013,4,12,21,"20131221"
"2014-01-04",2014,1,1,4,"20140104"
"2014-01-18",2014,1,1,18,"20140118"
"2014-02-01",2014,1,2,1,"20140201"
"2014-02-15",2014,1,2,15,"20140215"
"2014-03-01",2014,1,3,1,"20140301"
"2014-03-15",2014,1,3,15,"20140315"
"2014-03-29",2014,1,3,29,"20140329"
"2014-04-12",2014,2,4,12,"20140412"
"2014-04-26",2014,2,4,26,"20140426"
"2014-05-10",2014,2,5,10,"20140510"
"2014-05-24",2014,2,5,24,"20140524"
"2014-06-07",2014,2,6,7,"20140607"
"2014-06-21",2014,2,6,21,"20140621"
"2014-07-05",2014,3,7,5,"20140705"
"2014-07-19",2014,3,7,19,"20140719"
"2014-08-02",2014,3,8,2,"20140802"
"2014-08-16",2014,3,8,16,"20140816"
"2014-08-30",2014,3,8,30,"20140830"
"2014-09-13",2014,3,9,13,"20140913"
"2014-09-27",2014,3,9,27,"20140927"
"2014-10-11",2014,4,10,11,"20141011"
"2014-10-25",2014,4,10,25,"20141025"
"2014-11-08",2014,4,11,8,"20141108"
"2014-11-22",2014,4,11,22,"20141122"
"2014-12-06",2014,4,12,6,"20141206"
"2014-12-20",2014,4,12,20,"20141220"
"2015-01-03",2015,1,1,3,"20150103"
"2015-01-17",2015,1,1,17,"20150117"
"2015-01-31",2015,1,1,31,"20150131"
"2015-02-14",2015,1,2,14,"20150214"
"2015-02-28",2015,1,2,28,"20150228"
"2015-03-14",2015,1,3,14,"20150314"
"2015-03-28",2015,1,3,28,"20150328"
"2015-04-11",2015,2,4,11,"20150411"
"2015-04-25",2015,2,4,25,"20150425"
"2015-05-09",2015,2,5,9,"20150509"
"2015-05-23",2015,2,5,23,"20150523"
"2015-06-06",2015,2,6,6,"20150606"
"2015-06-20",2015,2,6,20,"20150620"
"2015-07-04",2015,3,7,4,"20150704"
"2015-07-18",2015,3,7,18,"20150718"
"2015-08-01",2015,3,8,1,"20150801"
"2015-08-15",2015,3,8,15,"20150815"
"2015-08-29",2015,3,8,29,"20150829"
"2015-09-12",2015,3,9,12,"20150912"
"2015-09-26",2015,3,9,26,"20150926"
"2015-10-10",2015,4,10,10,"20151010"
"2015-10-24",2015,4,10,24,"20151024"
"2015-11-07",2015,4,11,7,"20151107"
"2015-11-21",2015,4,11,21,"20151121"
"2015-12-05",2015,4,12,5,"20151205"
"2015-12-19",2015,4,12,19,"20151219"
"2016-01-02",2016,1,1,2,"20160102"
"2016-01-16",2016,1,1,16,"20160116"
"2016-01-30",2016,1,1,30,"20160130"
"2016-02-13",2016,1,2,13,"20160213"
"2016-02-27",2016,1,2,27,"20160227"
"2016-03-12",2016,1,3,12,"20160312"
"2016-03-26",2016,1,3,26,"20160326"
"2016-04-09",2016,2,4,9,"20160409"
"2016-05-07",2016,2,5,7,"20160507"
"2016-05-21",2016,2,5,21,"20160521"
"2016-06-04",2016,2,6,4,"20160604"
"2016-06-18",2016,2,6,18,"20160618"
"2016-07-02",2016,3,7,2,"20160702"
"2016-07-16",2016,3,7,16,"20160716"
"2016-07-30",2016,3,7,30,"20160730"
"2016-08-13",2016,3,8,13,"20160813"
"2016-08-27",2016,3,8,27,"20160827"
"2016-09-24",2016,3,9,24,"20160924"
"2016-10-08",2016,4,10,8,"20161008"
"2016-10-22",2016,4,10,22,"20161022"
"2016-11-05",2016,4,11,5,"20161105"
"2016-11-19",2016,4,11,19,"20161119"
"2016-12-03",2016,4,12,3,"20161203"
"2016-12-17",2016,4,12,17,"20161217"
"2016-12-31",2016,4,12,31,"20161231"
"2017-01-14",2017,1,1,14,"20170114"
"2017-01-28",2017,1,1,28,"20170128"
"2017-02-11",2017,1,2,11,"20170211"
"2017-02-25",2017,1,2,25,"20170225"
"2017-03-11",2017,1,3,11,"20170311"
"2017-03-25",2017,1,3,25,"20170325"
"2017-04-08",2017,2,4,8,"20170408"
"2017-04-22",2017,2,4,22,"20170422"
"2017-05-06",2017,2,5,6,"20170506"
"2017-05-20",2017,2,5,20,"20170520"
"2017-06-03",2017,2,6,3,"20170603"
"2017-06-17",2017,2,6,17,"20170617"
"2017-07-01",2017,3,7,1,"20170701"
"2017-07-15",2017,3,7,15,"20170715"
"2017-07-29",2017,3,7,29,"20170729"
"2017-08-12",2017,3,8,12,"20170812"
"2017-08-26",2017,3,8,26,"20170826"
"2017-09-09",2017,3,9,9,"20170909"
"2017-09-23",2017,3,9,23,"20170923"
"2017-10-21",2017,4,10,21,"20171021"
"2017-11-18",2017,4,11,18,"20171118"
"2017-12-16",2017,4,12,16,"20171216"
"2017-12-30",2017,4,12,30,"20171230"
"2018-01-13",2018,1,1,13,"20180113"
"2018-01-27",2018,1,1,27,"20180127"
"2018-02-10",2018,1,2,10,"20180210"
"2018-02-24",2018,1,2,24,"20180224"
"2018-03-10",2018,1,3,10,"20180310"
"2018-03-24",2018,1,3,24,"20180324"
"2018-04-07",2018,2,4,7,"20180407"
"2018-04-21",2018,2,4,21,"20180421"
"2018-05-05",2018,2,5,5,"20180505"
"2018-05-19",2018,2,5,19,"20180519"
"2018-06-02",2018,2,6,2,"20180602"
"2018-06-16",2018,2,6,16,"20180616"
"2018-06-30",2018,2,6,30,"20180630"
"2018-07-14",2018,3,7,14,"20180714"
"2018-07-28",2018,3,7,28,"20180728"
"2018-08-11",2018,3,8,11,"20180811"
"2018-08-25",2018,3,8,25,"20180825"
"2018-09-08",2018,3,9,8,"20180908"
"2018-10-06",2018,4,10,6,"20181006"
"2018-10-20",2018,4,10,20,"20181020"
"2018-11-03",2018,4,11,3,"20181103"
"2018-11-17",2018,4,11,17,"20181117"
"2018-12-01",2018,4,12,1,"20181201"
"2018-12-15",2018,4,12,15,"20181215"
"2018-12-29",2018,4,12,29,"20181229"
"2019-01-12",2019,1,1,12,"20190112"
"2019-01-26",2019,1,1,26,"20190126"
"2019-02-09",2019,1,2,9,"20190209"
"2019-02-23",2019,1,2,23,"20190223"
"2019-03-09",2019,1,3,9,"20190309"
"2019-03-23",2019,1,3,23,"20190323"
"2019-04-06",2019,2,4,6,"20190406"
"2019-04-20",2019,2,4,20,"20190420"
"2019-05-04",2019,2,5,4,"20190504"
"2019-05-18",2019,2,5,18,"20190518"
"2019-06-01",2019,2,6,1,"20190601"
"2019-06-15",2019,2,6,15,"20190615"
"2019-06-29",2019,2,6,29,"20190629"
"2016-04-23",2016,2,4,23,"20160423"
"2016-09-10",2016,3,9,10,"20160910"
"2017-10-07",2017,4,10,7,"20171007"
"2017-11-04",2017,4,11,4,"20171104"
"2017-12-02",2017,4,12,2,"20171202"
"2018-09-22",2018,3,9,22,"20180922"
"2019-08-10",2019,3,8,10,"20190810"
"2019-07-27",2019,3,7,27,"20190727"
"2019-07-13",2019,3,7,13,"20190713"
