"Amount_Hours","Amount_Dollars","Payment_Date","Departament_id","Worked_Hours_Type_id"
4.5,97.68,"20190112",1,1
15,225.27999999999997,"20190112",1,2
2.3,49.05,"20180113",1,1
16.1,225.4,"20180113",1,2
1,16.11,"20170114",1,1
11.5,211.5,"20160116",1,1
-1,-12.55,"20160116",1,2
1.3,21.1,"20150117",1,1
0.7,10.05,"20140118",1,1
1.8800000000000001,17.580000000000002,"20140118",1,2
4.699999999999999,82.93,"20160102",1,1
23.6,272.75,"20160102",1,2
3.7,81.36,"20190126",1,1
12.3,217.31,"20190126",1,2
8.899999999999999,190.13,"20180127",1,1
8.4,117.75,"20180127",1,2
0.6,9.45,"20170128",1,1
8,84,"20170128",1,2
2.7,53.95,"20150103",1,1
15.6,157.56,"20150103",1,2
4.1000000000000005,74.45,"20160130",1,1
8,81.6,"20160130",1,2
3.0999999999999996,55.699999999999996,"20150131",1,1
8,81.02000000000001,"20150131",1,2
0.4,5.3,"20140104",1,1
16.700000000000003,147.76000000000002,"20140104",1,2
29.3,479.15,"20151010",1,1
102,1746.12,"20141011",1,1
19.7,277.84000000000003,"20131012",1,1
101.5,1778.5700000000002,"20181020",1,1
138.04,2084.16,"20171021",1,1
104.87,1613.21,"20161022",1,1
28.3,479.20000000000005,"20151024",1,1
330.25,5376.759999999999,"20141025",1,1
56.300000000000004,796.65,"20131026",1,1
4,78.72,"20131026",1,2
62.37,1114.73,"20181006",1,1
84.38,1262.5,"20171007",1,1
79.7,1103.92,"20161008",1,1
5.3,87.21000000000001,"20181117",1,1
2.8,46.96,"20171118",1,1
0.25,3.5,"20171118",1,2
4.2,59.230000000000004,"20161119",1,1
3.54,68.51,"20151121",1,1
0.1,1.47,"20151121",1,2
2.7,56.67,"20141122",1,1
8.4,224.60999999999999,"20131123",1,1
1.3,21.33,"20131123",1,2
128.35,2187.3100000000004,"20181103",1,1
115.14999999999999,1819.3899999999999,"20171104",1,1
38,651.75,"20161105",1,1
0.5,6.4,"20161105",1,2
12.799999999999999,192.19,"20151107",1,1
0.05,0.95,"20151107",1,2
63.45,1064.95,"20141108",1,1
33.25,498.25,"20131109",1,1
0.9,19.43,"20181201",1,1
16,228.48,"20181201",1,2
3.4,74.48,"20181215",1,1
12,251.93,"20171216",1,1
0.30000000000000004,5.1,"20161217",1,1
6.3500000000000005,98.93,"20151219",1,1
4.95,103.95,"20171202",1,1
16.5,238.45000000000002,"20171202",1,2
6.2,143.70000000000002,"20141220",1,1
3.15,47.68,"20131221",1,1
0.1,0.88,"20131221",1,2
8.3,177.64,"20181229",1,1
13.5,193.96,"20181229",1,2
0.8,13.58,"20161203",1,1
16.7,185.95999999999998,"20161203",1,2
9.9,208.13,"20171230",1,1
0.7,9.8,"20171230",1,2
1.4,22.509999999999998,"20161231",1,1
6.1,77.74,"20161231",1,2
4.1000000000000005,80.49000000000001,"20151205",1,1
18.2,193.61,"20151205",1,2
3.3000000000000003,65.05,"20141206",1,1
31.3,418.71000000000004,"20141206",1,2
8.6,172.29999999999998,"20131207",1,1
8.1,71.6,"20131207",1,2
4.6,66.02000000000001,"20140201",1,1
8.2,72.59,"20140201",1,2
4.9,99.38,"20180210",1,1
2.7,42.98,"20170211",1,1
8,84,"20170211",1,2
12.5,217.55,"20160213",1,1
-6.800000000000001,-84.61,"20160213",1,2
4.5,81,"20150214",1,1
0.1,1.38,"20150214",1,2
3,40.190000000000005,"20140215",1,1
16.2,359.61,"20190223",1,1
9.4,200.7,"20180224",1,1
9.3,149.09,"20170225",1,1
5.7,108.55000000000001,"20160227",1,1
0.7,11.649999999999999,"20150228",1,1
3,66.33,"20190209",1,1
0.02,0.29,"20190209",1,2
5.1,97.48,"20140301",1,1
19.75,414.75,"20180310",1,1
10.2,148.28,"20170311",1,1
13,217.44,"20160312",1,1
0.5,6,"20160312",1,2
31.1,705.26,"20150314",1,1
0.1,1.51,"20140315",1,1
12.3,281.92,"20190323",1,1
0.1,2.23,"20190323",1,2
15.95,339.83,"20180324",1,1
8.25,188.95,"20170325",1,1
16.6,224.72,"20160326",1,1
31.55,592.1500000000001,"20150328",1,1
0.4,5.22,"20140329",1,1
10.7,240.35000000000002,"20190309",1,1
71.17,1255.9499999999998,"20150411",1,1
9,154.68,"20140412",1,1
61.45,1149.71,"20190420",1,1
0.1,1.49,"20190420",1,2
25.5,492.98,"20180421",1,1
164.52000000000004,2817.03,"20170422",1,1
110.30000000000001,1874.78,"20160423",1,1
115.8,2077.77,"20150425",1,1
7.7,138.6,"20150425",1,2
8.55,160.05,"20140426",1,1
19.8,408.96999999999997,"20190406",1,1
10.4,207.75,"20180407",1,1
2,20.2,"20180407",1,2
59.41,1035,"20170408",1,1
0.05,0.56,"20170408",1,2
11.75,175.38,"20160409",1,1
28,509.03,"20140510",1,1
146.45,2944.86,"20190518",1,1
0.1,1.49,"20190518",1,2
68.60000000000001,1266.6799999999998,"20180519",1,1
199.6,3110.76,"20170520",1,1
0.25,4.8,"20170520",1,2
94.34999999999998,1378.2,"20160521",1,1
120.92,1930.3600000000001,"20150523",1,1
2.2,44.5,"20140524",1,1
0.4,4.48,"20140524",1,2
204.02,4061.1899999999996,"20190504",1,1
66.55,1255.66,"20180505",1,1
118.2,2058.66,"20170506",1,1
44.800000000000004,697.47,"20160507",1,1
62.949999999999996,1085.16,"20150509",1,1
94,1658.6,"20190601",1,1
17.9,259.43,"20190601",1,2
140.87,2616.06,"20190615",1,1
65.18,1182.3899999999999,"20180616",1,1
169.5,2660.07,"20170617",1,1
62.3,1018.28,"20160618",1,1
143.64999999999998,2829.73,"20180602",1,1
27.3,377.33,"20180602",1,2
55.550000000000004,830.75,"20150620",1,1
64.35,900.99,"20140621",1,1
0.05,0.94,"20140621",1,2
53.75,905.22,"20190629",1,1
159.55,2702.63,"20170603",1,1
0.2,2.25,"20170603",1,2
56.25,882,"20180630",1,1
0.5,6.5,"20180630",1,2
120.55,1761.5,"20160604",1,1
0.8500000000000001,11.86,"20160604",1,2
51.95,860.9599999999999,"20150606",1,1
17.799999999999997,238.07,"20150606",1,2
25.599999999999998,380.26000000000005,"20140607",1,1
22.9,212.42000000000002,"20140607",1,2
108.8,1945.6699999999998,"20170701",1,1
4.7,50.34,"20170701",1,2
59.53,1270.94,"20190713",1,1
4.4,67.23,"20190713",1,2
116.05,2109.64,"20180714",1,1
3.65,49.93,"20180714",1,2
152.13,2534.7799999999997,"20170715",1,1
4,77.63000000000001,"20170715",1,2
36.19,510.55000000000007,"20160716",1,1
8.3,100.93,"20160716",1,2
30.4,551.14,"20150718",1,1
-6,-76.08,"20150718",1,2
83.00000000000001,1352.1999999999998,"20140719",1,1
184.04,2937,"20160702",1,1
30.500000000000004,389.13,"20190727",1,1
0.7,10.76,"20190727",1,2
102.77000000000001,1720.8700000000001,"20180728",1,1
5.19,51.9,"20180728",1,2
128.6,2151.59,"20170729",1,1
64.1,988.2199999999998,"20160730",1,1
208.15,3210.95,"20150704",1,1
6.5,82.71,"20150704",1,2
75.55,1064.89,"20140705",1,1
1.1,12.43,"20140705",1,2
58.800000000000004,938.1100000000001,"20150801",1,1
49.50000000000001,917.43,"20190810",1,1
10.9,169.94,"20190810",1,2
75.95,1202.95,"20180811",1,1
94.55000000000001,1473.8899999999999,"20170812",1,1
124.53,1797.6999999999998,"20160813",1,1
0.1,1.03,"20160813",1,2
32.93,612.04,"20150815",1,1
28.599999999999998,372.31,"20140816",1,1
0.1,1.87,"20140816",1,2
29.1,479.16999999999996,"20140802",1,1
69.73,1103.22,"20180825",1,1
0.1,1.43,"20180825",1,2
113.45,1760.1299999999999,"20170826",1,1
0.3,3.92,"20170826",1,2
63.57,959.26,"20160827",1,1
1.0999999999999999,24.169999999999998,"20160827",1,2
26.4,548.74,"20150829",1,1
12.5,195.29,"20140830",1,1
33.290000000000006,423.35999999999996,"20130831",1,1
68.99999999999999,1018.0500000000001,"20160910",1,1
10.200000000000001,128.78,"20160910",1,2
21.5,294.64,"20150912",1,1
8,82.4,"20150912",1,2
19.1,292.48,"20140913",1,1
8.799999999999999,90.19999999999999,"20140913",1,2
54.15,803.0999999999999,"20130914",1,1
2.0999999999999996,21.169999999999998,"20130914",1,2
46.199999999999996,904.4799999999999,"20180922",1,1
0.30000000000000004,5.89,"20180922",1,2
115.49000000000001,1812.77,"20170923",1,1
112.33000000000001,1617.17,"20160924",1,1
11.25,95.63,"20160924",1,2
29.099999999999998,506.59000000000003,"20150926",1,1
21.6,342.29999999999995,"20140927",1,1
0.1,1.87,"20140927",1,2
24.65,311.62,"20130928",1,1
0.1,0.88,"20130928",1,2
9.8,148.88,"20180908",1,1
3.8,54.26,"20180908",1,2
174.15,2626.6400000000003,"20170909",1,1
8.6,112.69,"20170909",1,2
10.05,281.07,"20160116",3,1
9.95,272.88,"20150117",3,1
0.05,1.22,"20150117",3,2
3.3,84.5,"20140118",3,1
7.5,205.65,"20150131",3,1
