"Payment_Type","Payment_Installments","Payment_id"
"credit_card",8,1
"credit_card",1,2
"credit_card",1,3
"credit_card",8,4
"credit_card",2,5
"credit_card",2,6
"credit_card",1,7
"credit_card",3,8
"credit_card",6,9
"boleto",1,10
"credit_card",8,11
"credit_card",1,12
"credit_card",1,13
"credit_card",5,14
"credit_card",4,15
"credit_card",10,16
"credit_card",1,17
"credit_card",1,18
"credit_card",4,19
"credit_card",3,20
"credit_card",4,21
"credit_card",2,22
"credit_card",4,23
"credit_card",10,24
"boleto",1,25
"credit_card",2,26
"credit_card",2,27
"credit_card",2,28
"boleto",1,29
"credit_card",1,30
"credit_card",1,31
"credit_card",1,32
"credit_card",1,33
"credit_card",1,34
"credit_card",1,35
"credit_card",1,36
"credit_card",1,37
"credit_card",3,38
"boleto",1,39
"credit_card",2,40
"credit_card",8,41
"boleto",1,42
"credit_card",1,43
"boleto",1,44
"credit_card",1,45
"credit_card",1,46
"credit_card",5,47
"credit_card",5,48
"credit_card",4,49
"credit_card",4,50
"credit_card",1,51
"credit_card",4,52
"boleto",1,53
"boleto",1,54
"credit_card",2,55
"credit_card",3,56
"credit_card",2,57
"credit_card",4,58
"credit_card",2,59
"credit_card",2,60
"credit_card",8,61
"boleto",1,62
"credit_card",4,63
"boleto",1,64
"credit_card",1,65
"credit_card",2,66
"boleto",1,67
"credit_card",2,68
"credit_card",1,69
"boleto",1,70
"credit_card",5,71
"credit_card",8,72
"credit_card",3,73
"credit_card",3,74
"credit_card",3,75
"credit_card",1,76
"credit_card",1,77
"credit_card",8,78
"credit_card",3,79
"credit_card",1,80
"credit_card",1,81
"debit_card",1,82
"credit_card",3,83
"credit_card",10,84
"credit_card",7,85
"credit_card",4,86
"credit_card",1,87
"credit_card",1,88
"credit_card",1,89
"credit_card",2,90
"credit_card",1,91
"credit_card",10,92
"credit_card",1,93
"credit_card",2,94
"credit_card",6,95
"credit_card",1,96
"boleto",1,97
"credit_card",3,98
"credit_card",1,99
"credit_card",3,100
"credit_card",1,101
"credit_card",3,102
"boleto",1,103
"credit_card",3,104
"credit_card",3,105
"credit_card",7,106
"debit_card",1,107
"credit_card",10,108
"credit_card",2,109
"credit_card",2,110
"credit_card",8,111
"credit_card",4,112
"credit_card",2,113
"credit_card",1,114
"credit_card",1,115
"credit_card",4,116
"credit_card",4,117
"boleto",1,118
"credit_card",2,119
"boleto",1,120
"credit_card",1,121
"credit_card",1,122
"credit_card",3,123
"credit_card",7,124
"boleto",1,125
"credit_card",1,126
"credit_card",10,127
"boleto",1,128
"credit_card",1,129
"credit_card",4,130
"credit_card",1,131
"credit_card",7,132
"credit_card",4,133
"credit_card",1,134
"boleto",1,135
"credit_card",1,136
"boleto",1,137
"credit_card",6,138
"credit_card",5,139
"credit_card",8,140
"credit_card",2,141
"credit_card",3,142
"credit_card",10,143
"boleto",1,144
"credit_card",4,145
"credit_card",4,146
"credit_card",1,147
"boleto",1,148
"boleto",1,149
"credit_card",1,150
"credit_card",5,151
"credit_card",10,152
"credit_card",10,153
"credit_card",1,154
"credit_card",1,155
"boleto",1,156
"credit_card",10,157
"credit_card",10,158
"boleto",1,159
"credit_card",2,160
"credit_card",3,161
"credit_card",1,162
"credit_card",8,163
"credit_card",2,164
"credit_card",2,165
"boleto",1,166
"boleto",1,167
"credit_card",8,168
"boleto",1,169
"credit_card",1,170
"credit_card",3,171
"credit_card",4,172
"credit_card",8,173
"boleto",1,174
"credit_card",2,175
"credit_card",1,176
"credit_card",8,177
"credit_card",2,178
"boleto",1,179
"credit_card",1,180
"credit_card",8,181
"credit_card",1,182
"credit_card",4,183
"credit_card",12,184
"credit_card",3,185
"credit_card",1,186
"credit_card",10,187
"credit_card",6,188
"credit_card",3,189
"boleto",1,190
"credit_card",1,191
"credit_card",2,192
"credit_card",2,193
"credit_card",1,194
"credit_card",6,195
"credit_card",3,196
"boleto",1,197
"credit_card",1,198
"boleto",1,199
"credit_card",2,200
"credit_card",1,201
"credit_card",2,202
"credit_card",3,203
"credit_card",1,204
"credit_card",2,205
"credit_card",1,206
"boleto",1,207
"credit_card",3,208
"credit_card",1,209
"boleto",1,210
"credit_card",1,211
"credit_card",1,212
"credit_card",4,213
"credit_card",6,214
"credit_card",10,215
"credit_card",4,216
"credit_card",2,217
