DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Belle of Louisville           ,9/27/2014,1,2
Belle of Louisville           ,3/14/2015,0,1
Belle of Louisville           ,7/18/2015,0,3
Belle of Louisville           ,10/24/2015,0,1
Belle of Louisville           ,5/21/2016,0,1
Belle of Louisville           ,6/17/2017,0,1
Civic Innovation & Technology,11/7/2015,3,8
Civic Innovation & Technology,12/16/2017,1,6
Civic Innovation & Technology,7/28/2018,1,5
Civic Innovation & Technology,6/15/2019,1,4
Codes & Regulations,8/31/2013,5,25
Codes & Regulations,3/1/2014,5,23
Codes & Regulations,5/6/2017,8,22
Codes & Regulations,7/1/2017,6,22
Codes & Regulations,5/5/2018,10,21
Codes & Regulations,6/2/2018,8,21
Codes & Regulations,5/4/2019,9,19
Community Services,5/6/2017,1,9
Community Services,7/1/2017,1,9
Community Services,5/5/2018,1,9
Community Services,6/2/2018,1,9
Community Services,5/4/2019,2,8
Coroner                       ,10/12/2013,0,6
Coroner                       ,12/6/2014,0,5
Coroner                       ,11/7/2015,0,4
Coroner                       ,12/3/2016,0,4
Coroner                       ,6/30/2018,0,6
Coroner                       ,7/28/2018,0,6
Coroner                       ,2/9/2019,0,7
Coroner                       ,6/15/2019,0,7
Corrections                   ,2/14/2015,0,1
Corrections                   ,9/10/2016,0,1
Corrections                   ,4/22/2017,0,1
Corrections                   ,8/25/2018,1,2
County Attorney               ,8/16/2014,0,7
County Attorney               ,6/20/2015,0,5
County Attorney               ,1/30/2016,0,4
County Attorney               ,10/22/2016,0,3
County Attorney               ,9/22/2018,0,4
County Attorney               ,2/23/2019,0,4
Develop Louisville,11/9/2013,3,16
Develop Louisville,2/15/2014,5,16
Develop Louisville,10/25/2014,5,14
Develop Louisville,1/31/2015,2,12
Develop Louisville,5/23/2015,4,12
Develop Louisville,1/16/2016,3,11
Develop Louisville,2/27/2016,3,11
Develop Louisville,7/29/2017,1,7
Develop Louisville,10/7/2017,1,6
Economic Development ,10/10/2015,0,2
Economic Development ,2/13/2016,0,2
Economic Development ,6/18/2016,0,2
Economic Development ,12/30/2017,0,2
Economic Development ,1/13/2018,0,1
Economic Development ,1/12/2019,0,1
Economic Development ,3/9/2019,0,1
Emergency Mgt Agency/MetroSafe,12/20/2014,3,22
Emergency Mgt Agency/MetroSafe,12/2/2017,1,16
Emergency Mgt Agency/MetroSafe,12/29/2018,2,12
