DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,PARETO_TYPE,TOTAL_HOURS,TOTAL EMPLOYEE,TOTAL AVAL HOURS,LOST WORKTIME RATE
Belle of Louisville           ,7/20/2013,FURLOUGH,24,64,4104,0.005847
Belle of Louisville           ,7/20/2013,SICK,21.5,64,4104,0.005238
Belle of Louisville           ,8/3/2013,SICK,6.5,62,4008,0.001621
Belle of Louisville           ,8/17/2013,SICK,6,65,4078,0.001471
Belle of Louisville           ,8/31/2013,SICK,11.5,60,3818,0.003012
Belle of Louisville           ,9/14/2013,SICK,52.95,64,3978,0.01331
Belle of Louisville           ,9/28/2013,SICK,77,64,3988,0.019307
Belle of Louisville           ,10/12/2013,SICK,40.8,60,3858,0.010575
Belle of Louisville           ,10/26/2013,SICK,12,62,3904,0.003073
Belle of Louisville           ,11/9/2013,FMLA,71.5,61,3828,0.018678
Belle of Louisville           ,11/9/2013,SICK,61.4,61,3828,0.016039
Belle of Louisville           ,11/23/2013,FMLA,80,35,2546,0.031421
Belle of Louisville           ,11/23/2013,SICK,50.3,35,2546,0.019756
Belle of Louisville           ,12/7/2013,FMLA,64,32,2306,0.027753
Belle of Louisville           ,12/7/2013,SICK,34.1,32,2306,0.014787
Belle of Louisville           ,12/21/2013,FMLA,72,27,1946,0.036998
Belle of Louisville           ,12/21/2013,SICK,8.3,27,1946,0.004265
Belle of Louisville           ,1/4/2014,FMLA,64,27,1992,0.032128
Belle of Louisville           ,1/4/2014,FURLOUGH,24,27,1992,0.012048
Belle of Louisville           ,1/4/2014,SICK,14.5,27,1992,0.007279
Belle of Louisville           ,1/18/2014,FMLA,40,28,2026,0.019743
Belle of Louisville           ,1/18/2014,SICK,37.9,28,2026,0.018706
Belle of Louisville           ,2/1/2014,FUNERAL,40,24,1798,0.022246
Belle of Louisville           ,2/1/2014,FURLOUGH,40,24,1798,0.022246
Belle of Louisville           ,2/1/2014,SICK,28,24,1798,0.015572
Belle of Louisville           ,2/15/2014,FURLOUGH,24,27,1946,0.012332
Belle of Louisville           ,2/15/2014,SICK,106.7,27,1946,0.05483
Belle of Louisville           ,3/1/2014,FMLA,79.9,26,1958,0.040806
Belle of Louisville           ,3/1/2014,FUNERAL,24,26,1958,0.012257
Belle of Louisville           ,3/1/2014,SICK,56.9,26,1958,0.02906
Belle of Louisville           ,3/15/2014,FMLA,48,31,2272,0.021126
Belle of Louisville           ,3/15/2014,SICK,19.6,31,2272,0.008626
Belle of Louisville           ,3/29/2014,FMLA,80,32,2352,0.034013
Belle of Louisville           ,3/29/2014,SICK,92.3,32,2352,0.039243
Belle of Louisville           ,4/12/2014,SICK,37,49,3392,0.010908
Belle of Louisville           ,4/26/2014,FMLA,80,50,3482,0.022975
Belle of Louisville           ,4/26/2014,FUNERAL,24,50,3482,0.006892
Belle of Louisville           ,4/26/2014,SICK,21.5,50,3482,0.006174
Belle of Louisville           ,5/10/2014,FMLA,80,58,3930,0.020356
Belle of Louisville           ,5/10/2014,SICK,4,58,3930,0.001017
Belle of Louisville           ,5/10/2014,UNPAID ABSENCE,16,58,3930,0.004071
Belle of Louisville           ,5/10/2014,WORKERS COMP,16,58,3930,0.004071
Belle of Louisville           ,5/24/2014,FMLA,80,65,4244,0.01885
Belle of Louisville           ,6/7/2014,FMLA,21.2,71,4582,0.004626
Belle of Louisville           ,6/7/2014,SICK,27.4,71,4582,0.005979
Belle of Louisville           ,6/7/2014,UNPAID ABSENCE,16,71,4582,0.003491
Belle of Louisville           ,6/21/2014,SICK,65.68,69,4472,0.014686
Belle of Louisville           ,7/5/2014,FMLA,15,69,4486,0.003343
Belle of Louisville           ,7/5/2014,SICK,2,69,4486,0.000445
Belle of Louisville           ,7/19/2014,FMLA,30,67,4316,0.00695
Belle of Louisville           ,7/19/2014,SICK,37.8,67,4316,0.008758
Belle of Louisville           ,7/19/2014,UNPAID ABSENCE,16,67,4316,0.003707
Belle of Louisville           ,8/2/2014,FMLA,15,67,4316,0.003475
Belle of Louisville           ,8/2/2014,SICK,53.7,67,4316,0.012442
Belle of Louisville           ,8/16/2014,SICK,28.8,60,4058,0.007097
Belle of Louisville           ,8/30/2014,SICK,49,62,3962,0.012367
Belle of Louisville           ,9/13/2014,SICK,20.6,61,3828,0.005381
Belle of Louisville           ,9/27/2014,SICK,29.15,62,3862,0.007547
Belle of Louisville           ,10/11/2014,SICK,27,60,3816,0.007075
Belle of Louisville           ,10/25/2014,SICK,50.2,63,3896,0.012885
Belle of Louisville           ,10/25/2014,UNPAID ABSENCE,25.91,63,3896,0.00665
Belle of Louisville           ,11/8/2014,SICK,51,58,3742,0.013629
Belle of Louisville           ,11/22/2014,FMLA,62.8,32,2346,0.026768
