Dept,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
All Metro Gov,8/10/2019,NO,YES,Animal Bite,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Bite,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Burn from heat,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Chest Pain,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,NO,Contusion/Bruise,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,YES,YES,Cut or Laceration,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,YES,YES,"Cut, laceration or scratches",1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,YES,YES,Sprain  (ligament),2,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Sprain  (ligament),1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Sprain or Strain,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,YES,YES,Sprain or Strain,2,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,YES,YES,Sudden Illness,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,8/10/2019,NO,YES,Sudden Illness,1,835575.75,216,372,481,51.70087811,89.04040118,115.1301962
All Metro Gov,7/27/2019,NO,YES,Contusion/Bruise,1,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,NO,YES,Fracture,1,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,NO,YES,Sprain  (ligament),2,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,YES,YES,Sprain  (ligament),6,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,YES,YES,Sprain or Strain,6,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,NO,YES,Sprain or Strain,2,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/27/2019,YES,YES,Wound from a weapon,1,840926.4,222,378,494,52.7989132,89.9008522,117.4894735
All Metro Gov,7/13/2019,NO,NO,Animal Bite,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,Bite,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,Contusion/Bruise,2,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Contusion/Bruise,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,Cut or Laceration,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,"Cut, laceration or scratches",1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Foreign Body,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Foreign Body (splinter),1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Human Bite,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Infection,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,YES,Other,2,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Other,1,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,YES,Sprain  (ligament),4,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,Sprain  (ligament),2,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Sprain  (ligament),3,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,NO,NO,Sprain or Strain,2,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
