MONTH_END_DATE,DEPT,REG_TEMP,AGE_GROUP_AT_DEPARTURE,ETHNIC_GROUP,GENDER,YEARS_IN_METRO,REASON,LEAVE_TYPE,EMP_LEFT,DEPT_EMP_LEFT,REG_TEMP_DEPT_TOTAL_EMP,DEPT_TOTAL_EMP,METRO_EMP_LEFT,REG_TEMP_METRO_TOTAL_EMP,METRO_TOTAL_EMP,MONTH,YEAR
9/30/2012,Human Resources,T,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,7,71,17,681,September,2012
9/30/2012,Metro Parks & Recreation,T,60 to 74 years,WHITE,M,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,7,6,61,71,17,681,September,2012
10/31/2012,Belle of Louisville           ,NULL,45 to 59 years,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,2,29,NULL,NULL,NULL,NULL,NULL,October,2012
10/31/2012,Fire & Rescue,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,1,117,117,189,659,676,October,2012
10/31/2012,Metro Parks & Recreation,T,Under 20,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,16,6,61,189,17,676,October,2012
10/31/2012,Zoo,R,30 to 44 years,WHITE,F,Under 1 year,Dismissed during Probation,Involuntary,1,103,32,37,189,659,676,October,2012
10/31/2012,Zoo,T,20 to 29 years,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,2,103,5,37,189,17,676,October,2012
10/31/2012,Zoo,T,Under 20,HISPA,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,103,5,37,189,17,676,October,2012
11/30/2012,Develop Louisville,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,10,10,97,654,669,November,2012
11/30/2012,Zoo,R,60 to 74 years,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,24,32,36,97,654,669,November,2012
11/30/2012,Zoo,T,20 to 29 years,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,2,24,4,36,97,15,669,November,2012
12/31/2012,Louisville Metro EMS,R,20 to 29 years,BLACK,M,1 to 4.9 years,Dismissed during Probation,Involuntary,1,6,10,10,65,645,656,December,2012
1/31/2013,Human Relations Commission    ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,2,61,633,643,January,2013
1/31/2013,Human Resources,T,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,7,61,10,643,January,2013
